contacts,days
106,16
244,15
88,13
195,9
110,9
111,23
39,7
145,11
309,22
150,12
140,12
145,19
167,9
284,22
319,11
161,11
118,14
112,11
204,19
154,12
155,16
175,26
1235,17
701.5,11
33,24
466,28
202,15
34,15
535,17
432,15
150,25
210,17
234,19
193,22
167,18
195,24
89,13
98,11
125,15
107,15
245,13
270,17
107,22
138,13
165,12
344,21
127,23
142,16
249,16
133,8
230,16
96,23
283,22
95,12
157,11
641,23
270,21
132,13
186,20
102,18
271,16
284,21
136,19
160,13
154,13
223,18
708,10
141,13
37,9
592.5,13
184,16
198,13
218,22
200,19
206,11
74,11
141,12
215,14
494,23
177,29
374,25
119,12
91,8
565,17
150,16
226,14
111,10
343,22
178,14
452,17
194,10
129,9
130,9
133,16
120,13
131,11
172,19
322.5,13
183,20
225.5,8
54,10
224,14
169,12
173,14
112,10
320.5,14
134,28
125,11
231,14
118,11
139,12
148,17
146,14
90,9
98,15
134,15
167,12
193,14
127,29
256,17
84,12
364,13
313,21
268,19
298,22
230,18
219,21
86,12
108,13
183,12
95,14
507,15
154,12
130,16
156,15
54,21
157,16
119,12
107,12
168,25
195,18
142,22
95,12
123,11
178,13
124,11
283,18
138,15
96,9
114,12
184,9
472,11
329,18
484,29
1502,9
135,11
88,8
219,14
122,12
342,23
225,19
217,17
78,13
539,11
96,10
115,8
253,15
220,19
191,14
73,21
258,17
190,30
247,11
143,11
358.5,17
138,16
496,24
180,8
86,9
151,14
128,10
458.5,10
40,4
103,21
240,24
123,11
149,17
192,15
972.5,11
92,16
161,10
120,22
203,17
288,16
101,9
82,9
106,12
182,8
203,17
1296,12
165,15
153,13
272,27
352,10
141,9
247,13
164,14
141,13
101,9
535,16
83,11
289,22
124,12
111,9
547,9
194,15
193,22
234,13
210,14
704.5,13
233,14
229,21
138,12
77,18
129,15
158,11
157,8
251,25
184,13
68,15
219,21
302,22
107,15
106,9
145,12
135,9
96,25
206,22
507,9
120,11
139,24
190,14
134,13
167,21
205,15
53,9
98,21
129,13
268,12
244,19
177,6
236,18
180,19
92,12
205,13
1127,12
48,8
219,24
413,13
376.5,14
143,13
137,27
241,24
116,9
194,20
73,9
67,14
385,15
82,14
184,12
511,14
163,13
83,23
239,20
144,13
108,10
246,15
71,9
346,22
78,10
132,24
105,9
158,13
306,18
87,22
60,23
215,16
265,14
530,14
123,15
404,16
286,21
135,15
132,12
303,22
149,20
156,14
251,17
1282.5,14
154,9
264,11
236,22
271,21
128,12
177,11
527,20
119,10
173,15
367,15
219,25
131,15
218,16
237,17
114,9
243,20
283,11
219,17
435,11
99,9
168,9
136,24
120,15
246,18
84,10
152,15
1012,10
211,20
170,20
531,18
156,19
139,21
342,20
247,15
76,7
230,19
139,16
230,19
255,13
81,10
200,14
271,19
261,17
293,11
102,22
119,12
202,19
184,15
109,9
102,10
562,8
226,13
355,25
293,16
74,9
84,26
583.5,15
817.5,12
140,15
711,19
209,15
65,10
82,10
142,13
488,15
155,18
259,22
182,11
246,16
179,10
690,24
252,19
989,11
133,9
139,20
70,10
94,9
198,17
104,13
220,13
174,22
291,19
78,9
213,26
120,10
154,11
217,17
105,28
238,20
139,12
472,30
155,16
180,20
253,16
227,13
163,20
388,12
92,22
264,11
135.5,12
247,14
234,16
557,23
209,14
123,25
98,21
70,8
141,13
118,11
198,20
208,21
380,23
362,24
229,12
709,12
94,9
201,15
118,10
143,11
109,12
198,16
42,24
57,11
180,22
217,18
295,20
366,18
137,14
138,13
171,12
130,20
402.5,13
126,9
201.5,15
106,14
167,13
62,10
222,17
146,17
158,11
213,18
302,26
208,17
188,26
174,27
129,23
234,17
97,11
42,13
654,12
116,20
131,10
86,12
122,11
201,15
130,14
207,19
258,13
168,15
766,12
338,23
91,10
104,11
136,13
238,17
109,10
367,15
79,8
88,15
108,8
291,17
21,5
81,12
290,22
288,22
237,14
283,24
139,10
152,18
272,26
368,24
110,13
164,22
114,11
1902,21
208,15
113,23
154,18
326,19
282,12
379,23
310,25
92,13
163,16
109,17
77.5,10
156,17
135,22
175,17
161,24
118,14
276,14
151,15
73,10
98,24
179,17
352,16
101,14
104,11
118,24
176,11
190,12
85,12
67,10
135,13
899,8
162,14
259,20
85,10
117,10
160,14
282,11
485,22
86,14
183,14
121,12
246,9
247,20
132,14
125,12
130,14
138,14
185,14
113,12
180,11
99,11
109.5,10
115,13
312,20
120,8
334,21
170,15
311,15
135,11
168,11
219,21
76,11
640,13
611,25
87,24
156,11
130,11
206,15
53,24
362,12
1092,14
227,15
176,18
108,8
960,11
162,14
397,24
121,12
129,11
88,8
469,9
215,9
170,25
127,11
109,12
266,18
208,16
174,13
50,9
155,11
215,13
213,14
205,13
158,14
151,13
52,8
124,24
632.5,13
156,12
221,20
191,16
149,16
881,13
248,17
145,16
327,15
183,30
110,22
330,23
55,10
141,11
216,20
192,18
425,21
155,15
118,11
47,10
672,16
138,12
1052,16
73,23
1789,12
142,17
133,12
100,10
389,13
611,17
136,13
709,22
149,14
290,23
117,12
306,29
123,14
325,18
399,24
283,12
117,13
264,17
558,19
142,9
323,25
176,16
173,21
186,11
150.5,15
171,14
234,16
288,18
510,10
122,24
349,22
133,22
356,25
103,22
201,26
120,13
665.5,12
87,25
187,14
298,13
626,11
180,11
446,12
97,8
148,11
151,13
837,10
98,9
121,10
152,14
177,19
103,9
194,14
118,10
128,10
242,13
236,17
152,11
225,15
266,13
303,17
43,10
347,21
220,12
856,9
176,16
307,24
204,11
113,32
169,14
357,21
226,16
121,16
171,15
191,13
155,17
198,8
223,16
376,10
533,18
149,13
820,15
253,24
275,18
433,9
115,11
183,12
165,12
880,16
104,12
233.5,12
130,15
118,11
158,12
188,14
59,11
83,13
120,10
185,15
766,13
125,14
262,16
115,11
112,9
138,9
204,16
131,10
96,10
677,17
217,13
460,30
136,16
422.5,12
117,12
137,12
85,10
193,15
257,16
139,22
122,12
172,11
132,18
214,17
98,7
161,14
142,15
154,12
315,22
277,20
268,19
155,9
112,15
133,11
225,12
469,12
166,17
440,13
61,8
288.5,16
545.5,9
122,15
228,10
224,13
189,27
172,18
749,13
342,17
219,17
181,12
333,21
136,9
157,11
412,26
195,13
189,15
166,16
126,28
113,14
277,17
238,21
178,22
171,15
521.5,11
85,12
126,13
210,18
278.5,18
193,14
172,18
87,13
102,9
260,22
40,9
181,11
127,24
293,22
414,10
82,8
224,18
743,9
100,8
189,16
701,10
297,19
319,13
123,14
181,15
228,16
254,11
292.5,10
92,9
333,26
154,7
491.5,14
239,14
149,11
180,22
111,12
116,22
168,14
221,19
230,14
173,13
284,21
209,12
372,14
258,15
126,11
224,23
259,11
72,24
569,15
229,11
349,13
89,11
325,20
516,16
345,13
228,23
144,12
116,10
228,15
249,15
226,16
106,9
131,13
150,18
280,15
174,12
212,13
397,13
397,14
153,12
227,26
1077,11
174,17
251,20
153,15
227,12
255,22
385,19
160,12
203,11
100,16
127,10
174,13
294,18
254,19
107,10
109,23
206,17
197,12
111,11
249,17
103,8
240,21
506,17
350,12
87,9
120,9
95,9
217,19
72,21
90,15
154,25
90,9
93,7
109,21
188,11
419.5,12
993,10
201,15
209,17
793.5,16
248,14
332,25
1076,16
142,13
104,13
115,21
365,21
303,15
134,10
448,21
275,14
195,11
492,16
179,18
76,23
339,21
231,18
109,23
25,7
16,6
182,12
134,13
806,12
210,13
144,20
211,15
969.5,9
61,10
113,22
133,12
167,11
80,10
87,8
471.5,17
209,21
561,22
184,15
116,9
266,24
1047.5,13
1076,9
126,12
112,21
159,12
206,18
149,14
104,11
197,13
286,25
222,15
147,12
1422,11
97,11
338.5,14
177,14
211,15
163,12
190,20
318,26
119,13
323,18
205,15
199,15
358,22
130,12
119,12
166,10
349,21
189,13
132,15
127,22
274,21
80,10
220,13
285,10
153,14
47,13
530.5,14
145,25
186,23
763,13
466,10
193,13
280,21
