"","run","beta","lambda","prob.rnd.infection","f","pctApp","pctTest","lockdown","schools","compliance","SymPriority","deaths","propInfected","mortality","days","tests","household","relations","friends","school","random","work"
"1",85,0.08,0.01,0.1,0,20,0,"false","true","High","false",281,43.7818245423096,0.62,283,0,0.33,0.03,0.17,0.06,0.22,0.19
"2",38,0.08,0.01,0.1,0,40,1,"false","true","Low","true",168,33.9176740389474,0.48,335,42454,0.35,0.02,0.18,0.06,0.21,0.18
"3",97,0.08,0.01,0.1,0,20,6,"false","true","Low","false",156,29.033700003887,0.52,338,109526,0.36,0.02,0.17,0.06,0.21,0.17
"4",92,0.08,0.01,0.1,0,20,0,"false","true","Low","false",269,43.5787305165779,0.6,299,0,0.33,0.03,0.18,0.06,0.22,0.19
"5",37,0.08,0.01,0.1,0,40,0.5,"false","true","Low","true",255,39.5265674194426,0.63,300,20531,0.34,0.03,0.17,0.06,0.22,0.18
"6",78,0.08,0.01,0.1,0,0,0,"false","true","Low","false",261,44.5679636179889,0.57,308,0,0.33,0.03,0.18,0.06,0.22,0.18
"7",39,0.08,0.01,0.1,0,40,1.5,"false","true","Low","true",161,27.2602713102966,0.57,357,66165,0.36,0.02,0.17,0.06,0.21,0.18
"8",88,0.08,0.01,0.1,0,20,1.5,"false","true","High","false",248,37.7239864733548,0.64,327,54906,0.34,0.02,0.18,0.06,0.22,0.18
"9",87,0.08,0.01,0.1,0,20,1,"false","true","High","false",224,40.8287013643254,0.53,295,37822,0.33,0.03,0.18,0.06,0.22,0.19
"10",9,0.08,0.01,0.1,0,0,0.5,"false","true","Low","true",242,41.6371905002527,0.56,289,18735,0.33,0.03,0.18,0.06,0.22,0.18
"11",12,0.08,0.01,0.1,0,0,3,"false","true","Low","true",188,31.9722470556225,0.57,343,76926,0.35,0.02,0.17,0.06,0.22,0.18
"12",79,0.08,0.01,0.1,0,0,0.5,"false","true","Low","false",249,42.6089322501652,0.57,264,18790,0.33,0.03,0.18,0.06,0.22,0.18
"13",101,0.08,0.01,0.1,0,40,1,"false","true","High","false",239,41.8801259377308,0.55,274,35294,0.34,0.03,0.18,0.06,0.22,0.18
"14",86,0.08,0.01,0.1,0,20,0.5,"false","true","High","false",277,42.7041629416566,0.63,311,21315,0.33,0.03,0.17,0.06,0.22,0.19
"15",16,0.08,0.01,0.1,0,20,0.5,"false","true","High","true",247,40.9025537373188,0.59,303,20613,0.34,0.03,0.18,0.06,0.22,0.18
"16",80,0.08,0.01,0.1,0,0,1,"false","true","Low","false",236,39.9619077234034,0.57,331,38396,0.34,0.03,0.18,0.06,0.22,0.18
"17",68,0.08,0.01,0.1,0,80,3,"false","true","Low","true",79,19.6311268317332,0.39,423,139639,0.37,0.02,0.17,0.07,0.2,0.16
"18",107,0.08,0.01,0.1,0,40,0.5,"false","true","Low","false",246,42.6215648929141,0.56,268,18803,0.33,0.03,0.18,0.06,0.22,0.19
