Age,singleM,marriedM,divorcedM,widowedM,singleF,marriedF,divorcedF,widowedF
0,7,0,0,0,10,0,0,0
1,16,0,0,0,11,0,0,0
2,12,0,0,0,11,0,0,0
3,10,0,0,0,11,0,0,0
4,12,0,0,0,11,0,0,0
5,12,0,0,0,10,0,0,0
6,21,0,0,0,13,0,0,0
7,18,0,0,0,15,0,0,0
8,15,0,0,0,14,0,0,0
9,12,0,0,0,15,0,0,0
10,16,0,0,0,12,0,0,0
11,16,0,0,0,14,0,0,0
12,10,0,0,0,14,0,0,0
13,16,0,0,0,9,0,0,0
14,12,0,0,0,6,0,0,0
15,16,0,0,0,13,0,0,0
16,10,0,0,0,18,0,0,0
17,10,0,0,0,13,0,0,0
18,23,0,0,0,17,0,0,0
19,16,0,0,0,10,0,0,0
20,12,0,0,0,21,0,0,0
21,17,0,0,0,15,0,0,0
22,11,0,0,0,16,0,0,0
23,13,0,0,0,16,0,0,0
24,10,0,0,0,11,0,0,0
25,10,0,0,0,15,2,0,0
26,15,0,0,0,16,1,0,0
27,17,1,0,0,18,3,0,0
28,20,0,0,0,11,4,0,0
29,20,0,0,0,9,6,0,0
30,11,4,0,0,15,0,0,0
31,11,5,0,0,13,8,0,0
32,11,2,0,0,7,4,0,0
33,14,2,1,0,8,4,1,0
34,9,1,0,0,13,7,0,0
35,13,9,0,0,7,6,0,1
36,13,10,1,0,3,17,1,0
37,6,13,0,0,7,16,0,0
38,6,10,0,0,6,10,0,0
39,8,16,0,0,6,14,1,0
40,7,10,0,0,5,15,1,0
41,13,11,2,0,10,13,0,0
42,11,14,0,0,10,21,1,0
43,16,12,0,0,4,17,1,0
44,9,14,0,0,5,14,0,2
45,15,18,2,0,4,17,2,0
46,11,17,2,0,1,15,2,0
47,6,14,1,0,7,18,2,0
48,13,14,1,0,6,22,3,0
49,5,18,1,0,4,23,3,1
50,4,15,1,0,1,10,3,2
51,8,18,0,0,3,17,1,1
52,3,22,1,1,12,23,4,0
53,5,18,0,0,1,23,2,0
54,6,24,1,0,2,28,2,1
55,3,22,1,0,3,20,5,1
56,6,22,1,0,2,27,0,1
57,4,22,3,0,2,20,2,2
58,4,20,3,0,3,15,1,2
59,6,19,3,1,0,13,0,2
60,3,18,0,0,2,24,0,2
61,3,18,1,0,2,16,1,1
62,3,24,2,0,3,13,1,1
63,5,17,0,1,2,22,2,4
64,3,21,2,2,0,13,2,1
65,2,11,2,0,2,8,0,4
66,2,12,1,0,0,19,0,8
67,5,19,2,0,4,15,0,5
68,2,22,0,0,0,14,0,4
69,2,9,2,1,0,20,1,7
70,1,16,1,1,3,11,0,3
71,2,19,1,1,1,20,0,6
72,2,15,1,1,1,9,0,6
73,2,6,0,1,0,10,0,3
74,1,12,1,2,0,17,0,7
75,2,15,0,1,2,14,0,5
76,2,14,0,0,2,12,1,6
77,1,7,1,2,1,10,0,11
78,4,20,1,5,4,9,0,7
79,0,14,0,1,0,11,0,6
80,0,22,0,1,1,4,0,11
81,0,15,0,1,4,9,0,12
82,2,5,0,3,1,2,0,10
83,2,6,0,4,0,2,0,12
84,0,7,0,2,1,1,0,13
85,0,6,0,1,3,2,0,6
86,1,4,0,0,1,1,1,13
87,0,3,0,1,2,0,0,8
88,0,3,0,1,0,0,0,3
89,0,1,0,1,2,1,0,9
90,0,0,0,2,2,0,0,7
91,0,2,0,0,1,1,0,4
92,0,0,0,1,0,0,0,2
93,0,0,0,2,1,0,0,5
94,0,0,0,0,0,1,0,2
95,0,0,0,1,1,0,0,2
96,0,0,0,0,1,0,0,2
97,0,0,0,0,1,0,0,1
98,0,1,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,2
