run,pctApp,pctTest,lockdown,schools,compliance,deaths,propInfected,mortality,days,tests,household,relations,friends,school,random,work
22,20,0,false,true,Low,352,51.071831150153535,0.67,242,0,0.32,0.03,0.2,0.05,0.22,0.18
31,40,1,false,true,High,231,37.29544836164341,0.6,281,30480,0.35,0.02,0.19,0.06,0.21,0.16
27,20,6,false,true,Low,206,40.48567652660629,0.49,268,54168,0.35,0.03,0.19,0.06,0.21,0.16
16,20,0.5,false,true,High,292,45.77097990438061,0.62,279,13033,0.34,0.03,0.2,0.06,0.21,0.17
17,20,1,false,true,High,254,40.070742799393635,0.62,273,25593,0.35,0.03,0.19,0.06,0.21,0.16
14,0,100,false,true,Low,206,40.41473937886268,0.5,274,31268,0.34,0.03,0.2,0.06,0.21,0.17
19,20,3,false,true,High,231,39.058187895984766,0.57,287,50471,0.35,0.03,0.19,0.06,0.21,0.16
11,0,1.5,false,true,Low,218,40.998756170560114,0.52,260,31136,0.34,0.03,0.19,0.06,0.21,0.16
45,60,1,false,true,High,190,33.11793057876939,0.56,325,33681,0.36,0.03,0.19,0.07,0.2,0.15
106,40,0,false,true,Low,320,49.23232401756909,0.63,258,0,0.33,0.03,0.2,0.05,0.22,0.17
9,0,0.5,false,true,Low,311,45.99156528161076,0.66,269,12721,0.33,0.03,0.2,0.05,0.22,0.17
91,20,100,false,true,High,240,39.026120418237646,0.6,305,51522,0.35,0.02,0.19,0.06,0.21,0.16
23,20,0.5,false,true,Low,303,46.161620087845456,0.64,263,13163,0.33,0.03,0.2,0.06,0.21,0.17
105,40,100,false,true,High,194,34.61344113188479,0.54,302,96627,0.36,0.02,0.19,0.07,0.21,0.16
37,40,0.5,false,true,Low,248,43.64189373032223,0.55,264,15120,0.34,0.03,0.19,0.06,0.21,0.17
78,0,0,false,true,Low,347,51.97457923582228,0.65,245,0,0.32,0.03,0.2,0.05,0.22,0.18
107,40,0.5,false,true,Low,271,42.20954639095114,0.62,283,16365,0.34,0.03,0.19,0.06,0.21,0.16
20,20,6,false,true,High,253,39.58584366618727,0.62,303,52064,0.35,0.03,0.19,0.06,0.21,0.16
97,20,6,false,true,Low,248,40.15236910638629,0.6,293,53923,0.35,0.03,0.19,0.06,0.21,0.16
95,20,1.5,false,true,Low,234,40.53620709760174,0.56,298,35283,0.34,0.02,0.2,0.06,0.21,0.17
38,40,1,false,true,Low,226,38.57717572977805,0.57,303,29751,0.35,0.03,0.19,0.06,0.21,0.16
39,40,1.5,false,true,Low,231,37.11276091265985,0.6,334,44219,0.35,0.03,0.19,0.06,0.21,0.16
